iter,beta_prev,beta,Fy_prev,Zx_prev,muFyN,sigmaFyN,muZxN,sigmaZxN,alphaFy,alphaZx,g
1,3.000000,4.004422,373.000000,8772000.000000,371.144263,37.207252,8772000.000000,438600.000000,0.893981,0.448105,320.343255
2,4.004422,4.718601,271.356529,8182383.755613,356.337170,27.068179,8772000.000000,438600.000000,0.880874,0.473351,171.371217
3,4.718601,4.748537,260.857149,7940634.269138,352.843289,26.020851,8772000.000000,438600.000000,0.874836,0.484419,6.851080
4,4.748537,4.765637,245.429149,7769456.440822,346.937405,24.481888,8772000.000000,438600.000000,0.870299,0.492524,3.728937
5,4.765637,4.765626,245.762445,7746215.817549,347.075028,24.515134,8772000.000000,438600.000000,0.869665,0.493642,-0.002532
6,4.765626,4.765632,245.471848,7740184.797437,346.955061,24.486147,8772000.000000,438600.000000,0.869500,0.493933,0.001257
7,4.765632,4.765632,245.491538,7739579.425977,346.963201,24.488111,8772000.000000,438600.000000,0.869483,0.493962,0.000005
8,4.765632,4.765632,245.493352,7739517.126233,346.963951,24.488292,8772000.000000,438600.000000,0.869482,0.493965,0.000000
9,4.765632,4.765632,245.493551,7739510.837792,346.964033,24.488312,8772000.000000,438600.000000,0.869481,0.493966,0.000000
10,4.765632,4.765632,245.493571,7739510.203534,346.964041,24.488314,8772000.000000,438600.000000,0.869481,0.493966,0.000000
